text,label
the project gutenberg ebook of monday or tuesday by virginia woolf,1
this ebook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever you may copy it give it away or reuse it under the terms of the project gutenberg license included with this ebook or online at wwwgutenbergorg,1
start of this project gutenberg ebook monday or tuesday,1
produced by meredith bach martin pettit and the online distributed proofreading team at httpwwwpgdpnet this book was produced from scanned images of public domain material from the google print project,1
printed in the u s a by the quinn boden company rahway n j,1
whatever hour you woke there was a door shutting from room to room they went hand in hand lifting here opening there making surea ghostly couple,1
here we left it she said and he added oh but here too its upstairs she murmured and in the garden he whispered quietly they said or we shall wake them,1
but it wasnt that you woke us oh no theyre looking for it theyre drawing the curtain one might say and so read on a page or two now theyve found it one would be certain stopping the pencil on the margin and then tired of reading one might rise and see for oneself the house all empty the doors standing open only the wood pigeons bubbling with content and the hum of the threshing machine sounding from the farm what did i come in here for what did i want to find my hands were empty perhaps its upstairs then the apples were in the loft and so down again the garden still as ever only the book had slipped into the grass,1
but they had found it in the drawing room not that one could ever see them the window panes reflected apples reflected roses all the leaves were green in the glass if they moved in the drawing room the apple only turned its yellow side yet the moment after if the door was opened spread about the floor hung upon the walls pendant from the ceilingwhat my hands were empty the shadow of a thrush crossed the carpet from the deepest wells of silence the wood pigeon drew its bubble of sound safe safe safe the pulse of the house beat softly the treasure buried the room the pulse stopped short oh was that the buried treasure,1
a moment later the light had faded out in the garden then but the trees spun darkness for a wandering beam of sun so fine so rare coolly sunk beneath the surface the beam i sought always burnt behind the glass death was the glass death was between us coming to the woman first hundreds of years ago leaving the house sealing all the windows the rooms were darkened he left it left her went north went east saw the stars turned in the southern sky sought the house found it dropped beneath the downs safe safe safe the pulse of the house beat gladly the treasure yours,1
the wind roars up the avenue trees stoop and bend this way and that moonbeams splash and spill wildly in the rain but the beam of the lamp falls straight from the window the candle burns stiff and still wandering through the house opening the windows whispering not to wake us the ghostly couple seek their joy,1
here we slept she says and he adds kisses without number waking in the morning silver between the trees upstairs in the garden when summer came in winter snowtime the doors go shutting far in the distance gently knocking like the pulse of a heart,1
nearer they come cease at the doorway the wind falls the rain slides silver down the glass our eyes darken we hear no steps beside us we see no lady spread her ghostly cloak his hands shield the lantern look he breathes sound asleep love upon their lips,1
stooping holding their silver lamp above us long they look and deeply long they pause the wind drives straightly the flame stoops slightly wild beams of moonlight cross both floor and wall and meeting stain the faces bent the faces pondering the faces that search the sleepers and seek their hidden joy,1
safe safe safe the heart of the house beats proudly long years he sighs again you found me here she murmurs sleeping in the garden reading laughing rolling apples in the loft here we left our treasure stooping their light lifts the lids upon my eyes safe safe safe the pulse of the house beats wildly waking i cry oh is this your buried treasure the light in the heart,1
